"Valuables, by Region, Growth Rates"

"Region";"At Current Prices 2022-2023";"At Constant 2018 Prices 2022-2023"
"..National Capital Region (NCR)";-2.9;-2.8
"..Cordillera Administrative Region (CAR)";3.3;-31.5
"..Region I (Ilocos Region)";10.0;21.9
"..Region II (Cagayan Valley)";6.0;-13.6
"..Region III (Central Luzon)";-18.8;-21.5
"..Region IV-A (CALABARZON)";169.5;156.5
"..MIMAROPA Region";3.6;-0.7
"..Region V (Bicol Region)";2.2;-9.6
"..Region VI (Western Visayas)";6.9;-9.0
"..Region VII (Central Visayas)";258.8;248.3
"..Region VIII (Eastern Visayas)";88.8;78.2
"..Region IX (Zamboanga Peninsula)";5.0;-20.0
"..Region X (Northern Mindanao)";2.7;-1.2
"..Region XI (Davao Region)";41.9;7.1
"..Region XII (SOCCSKSARGEN)";5.5;-19.5
"..Region XIII (Caraga)";-20.0;-25.8
"..Bangsamoro Autonomous Region in Muslim Mindanao (BARMM)";0.0;-10.9
