Region,Implicit Price Index (2019),Implicit Price Index (2020),Implicit Price Index (2021),Implicit Price Index (2022),Implicit Price Index (2023)
..National Capital Region (NCR),104.7,133.5,138.9,150.2,150.0
..Cordillera Administrative Region (CAR),104.0,136.9,148.2,159.0,239.7
..Region I (Ilocos Region),105.9,142.7,154.0,166.8,150.6
..Region II (Cagayan Valley),104.0,119.2,122.1,130.1,159.6
..Region III (Central Luzon),104.4,131.2,135.5,143.5,148.6
..Region IV-A (CALABARZON),104.6,130.6,135.8,143.9,151.2
..MIMAROPA Region,104.0,121.8,124.8,129.5,135.0
..Region V (Bicol Region),104.0,118.6,121.4,124.5,140.7
..Region VI (Western Visayas),104.0,122.1,125.2,135.6,159.4
..Region VII (Central Visayas),104.7,137.7,137.7,145.4,149.8
..Region VIII (Eastern Visayas),104.0,117.0,119.8,136.6,144.8
..Region IX (Zamboanga Peninsula),104.1,113.4,116.1,124.4,163.2
..Region X (Northern Mindanao),104.1,135.0,137.2,150.2,156.1
..Region XI (Davao Region),103.5,136.3,139.4,149.4,197.9
..Region XII (SOCCSKSARGEN),104.0,114.1,115.4,123.4,161.8
..Region XIII (Caraga),104.0,116.4,119.2,130.1,140.3
..Bangsamoro Autonomous Region in Muslim Mindanao (BARMM),104.0,116.4,119.2,126.3,141.9
